"filename", "language", "XML", "YAML", "JSON with Comments", "JSON", "Markdown", "TypeScript", "Properties", "Dart", "HTML", "JavaScript JSX", "comment", "blank", "total"
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/services/functions_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 19, 13, 120
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/services/local_draft_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 8, 40
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/services/messaging_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 3, 11
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/services/notifications_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 3, 14
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/services/permission_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 8, 4, 71
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/services/profile_draft_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 1, 8, 37
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/services/storage_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 12, 12, 176
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/shared/data/blocks_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 21, 8, 101
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/shared/data/local_gp_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 4, 8, 76
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/shared/navigation/unsaved_changes_guard.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/shared/ui/progress.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 3, 30
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/shared/ui/toast.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 2, 26
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/shared/utils/download_and_open_helper.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 2, 33
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/shared/utils/file_open_helper.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 8, 3, 46
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/shared/widgets/app_shell.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 163, 0, 0, 8, 9, 180
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/shared/widgets/app_sidebar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 381, 0, 0, 18, 17, 416
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/shared/widgets/attachment_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 1, 10, 92
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/shared/widgets/date_form_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 2, 7, 98
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/shared/widgets/download_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 2, 7, 106
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/shared/widgets/illustrated_background.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 3, 38
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/shared/widgets/no_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 3, 42
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/shared/widgets/notifications_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 429, 0, 0, 20, 15, 464
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/shared/widgets/project_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 3, 7, 179
